qpl_id,governing_spec,manufacturer_name,cage_code,qualified_part_number,qualification_date
MIL-PRF-39016__81349__39016-180A,MIL-PRF-39016,Vishay Dale,81349,39016-180A,2011-11-08
MIL-PRF-39016__3B150__39016-311E,MIL-PRF-39016,Radiall USA,3B150,39016-311E,2014-02-09
MIL-PRF-49464__93958__49464-567H,MIL-PRF-49464,AVX Corporation,93958,49464-567H,2005-06-06
MIL-PRF-49464__05869__49464-931C,MIL-PRF-49464,Souriau USA,05869,49464-931C,2016-01-21
MIL-PRF-49464__81349__49464-511H,MIL-PRF-49464,Vishay Dale,81349,49464-511H,2015-12-26
MIL-PRF-49464__06141__49464-181A,MIL-PRF-49464,Honeywell Sensing,06141,49464-181A,2023-04-02
MIL-PRF-55342__81349__55342-586G,MIL-PRF-55342,Vishay Dale,81349,55342-586G,2008-08-13
MIL-PRF-55342__93958__55342-742D,MIL-PRF-55342,AVX Corporation,93958,55342-742D,2020-09-03
MIL-PRF-83446__30221__83446-625H,MIL-PRF-83446,Ohmite Manufacturing,30221,83446-625H,2007-08-20
MIL-PRF-83446__0C579__83446-738F,MIL-PRF-83446,Eaton Aerospace,0C579,83446-738F,2020-09-10
MIL-PRF-83446__0C579__83446-677D,MIL-PRF-83446,Eaton Aerospace,0C579,83446-677D,2007-01-28
MIL-PRF-83446__71468__83446-998D,MIL-PRF-83446,ITT Cannon,71468,83446-998D,2017-05-24
MIL-PRF-83446__60426__83446-504A,MIL-PRF-83446,TE Connectivity,60426,83446-504A,2013-04-16
