nsn,candidate_mpn,manufacturer,digikey_pn,raw_attributes_json,closeness_score,search_mode
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,"{""Resistance"": ""2 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2391/10-0603%20Resistor.jpg"", ""_description"": ""RES SMD 2K OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.1, ""_qty_available"": 85628, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB202V/1465861""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-3AEB2491V,Panasonic Industry,P2.49KDBTR-ND,"{""Resistance"": ""2.49 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2391/10-0603%20Resistor.jpg"", ""_description"": ""RES SMD 2.49KOHM 0.1% 1/10W 0603"", ""_unit_price"": 0.11, ""_qty_available"": 234050, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB2491V/2026782""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-3AEB2493V,Panasonic Industry,P249KDBTR-ND,"{""Resistance"": ""249 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2391/10-0603%20Resistor.jpg"", ""_description"": ""RES SMD 249K OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.11, ""_qty_available"": 81384, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB2493V/2026962""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-3AEB304V,Panasonic Industry,P300KDBTR-ND,"{""Resistance"": ""300 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2391/10-0603%20Resistor.jpg"", ""_description"": ""RES SMD 300K OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.1, ""_qty_available"": 5829, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB304V/1465913""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-3AEB751V,Panasonic Industry,P750DBTR-ND,"{""Resistance"": ""750 Ohms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.1W, 1/10W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0603 (1608 Metric)"", ""Supplier Device Package"": ""0603"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""0.022\"" (0.55mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2391/10-0603%20Resistor.jpg"", ""_description"": ""RES SMD 750 OHM 0.1% 1/10W 0603"", ""_unit_price"": 0.1, ""_qty_available"": 3079, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB751V/1465851""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-6AEB102V,Panasonic Industry,P1.0KDATR-ND,"{""Resistance"": ""1 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.125W, 1/8W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0805 (2012 Metric)"", ""Supplier Device Package"": ""0805"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.079\"" L x 0.049\"" W (2.00mm x 1.25mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7199/MFG_10_ERA_series.jpg"", ""_description"": ""RES SMD 1K OHM 0.1% 1/8W 0805"", ""_unit_price"": 0.1, ""_qty_available"": 36117, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-6AEB102V/1465748""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-6AEB104V,Panasonic Industry,P100KDATR-ND,"{""Resistance"": ""100 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.125W, 1/8W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0805 (2012 Metric)"", ""Supplier Device Package"": ""0805"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.079\"" L x 0.049\"" W (2.00mm x 1.25mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7199/MFG_10_ERA_series.jpg"", ""_description"": ""RES SMD 100K OHM 0.1% 1/8W 0805"", ""_unit_price"": 0.1, ""_qty_available"": 191196, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-6AEB104V/1465797""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-6AEB202V,Panasonic Industry,P2.0KDATR-ND,"{""Resistance"": ""2 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.125W, 1/8W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0805 (2012 Metric)"", ""Supplier Device Package"": ""0805"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.079\"" L x 0.049\"" W (2.00mm x 1.25mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7199/MFG_10_ERA_series.jpg"", ""_description"": ""RES SMD 2K OHM 0.1% 1/8W 0805"", ""_unit_price"": 0.1, ""_qty_available"": 10994, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-6AEB202V/1465756""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-6AEB203V,Panasonic Industry,P20KDATR-ND,"{""Resistance"": ""20 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.125W, 1/8W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0805 (2012 Metric)"", ""Supplier Device Package"": ""0805"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.079\"" L x 0.049\"" W (2.00mm x 1.25mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7199/MFG_10_ERA_series.jpg"", ""_description"": ""RES SMD 20K OHM 0.1% 1/8W 0805"", ""_unit_price"": 0.1, ""_qty_available"": 57212, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-6AEB203V/1465780""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-6AEB204V,Panasonic Industry,P200KDATR-ND,"{""Resistance"": ""200 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.125W, 1/8W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0805 (2012 Metric)"", ""Supplier Device Package"": ""0805"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.079\"" L x 0.049\"" W (2.00mm x 1.25mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7199/MFG_10_ERA_series.jpg"", ""_description"": ""RES SMD 200K OHM 0.1% 1/8W 0805"", ""_unit_price"": 0.11, ""_qty_available"": 373428, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-6AEB204V/1465804""}",0.0,parametric+parametric_loose
5905-00-493-1204,ERA-6AEB472V,Panasonic Industry,P4.7KDATR-ND,"{""Resistance"": ""4.7 kOhms"", ""Tolerance"": ""±0.1%"", ""Power (Watts)"": ""0.125W, 1/8W"", ""Composition"": ""Thin Film"", ""Features"": ""Automotive AEC-Q200"", ""Temperature Coefficient"": ""±25ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""0805 (2012 Metric)"", ""Supplier Device Package"": ""0805"", ""Ratings"": ""-"", ""Size / Dimension"": ""0.079\"" L x 0.049\"" W (2.00mm x 1.25mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-"", ""_status"": ""Active"", ""_datasheet"": ""https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7199/MFG_10_ERA_series.jpg"", ""_description"": ""RES SMD 4.7K OHM 0.1% 1/8W 0805"", ""_unit_price"": 0.1, ""_qty_available"": 17495, ""_category"": ""Chip Resistor - Surface Mount"", ""_product_url"": ""https://www.digikey.com/en/products/detail/panasonic-industry/ERA-6AEB472V/1465765""}",0.0,parametric+parametric_loose
5905-00-493-1204,HoFL2-1000A-75mV-0.5%-nickel plated,Milliohm Electronics,5705-HoFL2-1000A-75mV-0.5%-nickelplated-ND,"{""Resistance"": ""75 µOhms"", ""Tolerance"": ""±0.5%"", ""Power (Watts)"": ""75W"", ""Composition"": ""Metal Element"", ""Temperature Coefficient"": ""±50ppm/°C"", ""Operating Temperature"": ""-55°C ~ 170°C"", ""Features"": ""Current Sense, Pulse Withstanding"", ""Coating, Housing Type"": ""-"", ""Mounting Feature"": ""Flanges"", ""Size / Dimension"": ""4.724\"" L x 2.756\"" W (120.00mm x 70.00mm)"", ""Height - Seated (Max)"": ""0.827\"" (21.00mm)"", ""Lead Style"": ""-"", ""Package / Case"": ""Rectangular Case"", ""_status"": ""Active"", ""_datasheet"": ""//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6507/HoFL2-1000A-75mV-0.5%25-nickel%20plated.pdf"", ""_photo"": ""https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6503/MFG_HoFL2-1000A-75mV-0.5%25-nickel-plated.jpg"", ""_description"": ""RESISTOR SHUNT 75 uOHM 0.5% 1000"", ""_unit_price"": 43.07, ""_qty_available"": 16, ""_category"": ""Chassis Mount Resistors"", ""_product_url"": ""https://www.digikey.com/en/products/detail/milliohm-electronics/HoFL2-1000A-75mV-0-5-nickel-plated/24386204""}",0.0,parametric+parametric_loose
