delta_id,candidate_id,nsn,candidate_mpn,requirement_name,required_value,candidate_value,verdict,scored,gate_type,operator,uom,required_value_display,candidate_value_display,requirement_class,source,source_spec_id
5905-00-493-1204__CRT0603-BY-1003ELF__operating_temp_max,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,operating_temp_max,125,155,pass,true,hard,gte,degC,>= 125 degC,155 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__operating_temp_min,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__humidity_resistance,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__qualification,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__solderability_per_j_std_002,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__thermal_shock_cycles,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__vibration_grms,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-1003ELF__lot_traceability,5905-00-493-1204__CRT0603-BY-1003ELF,5905-00-493-1204,CRT0603-BY-1003ELF,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__power_rating,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,power_rating,0.1,0.1,pass,true,hard,gte,W,>= 0.1 W,0.1 W,electrical,publog_characteristics,
5905-00-493-1204__CRT0603-BY-10R0ELF__resistance_tolerance,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__temperature_coefficient,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__voltage_rating,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__operating_temp_max,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,operating_temp_max,125,155,pass,true,hard,gte,degC,>= 125 degC,155 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__operating_temp_min,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__humidity_resistance,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__qualification,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__solderability_per_j_std_002,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__thermal_shock_cycles,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__vibration_grms,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__CRT0603-BY-10R0ELF__lot_traceability,5905-00-493-1204__CRT0603-BY-10R0ELF,5905-00-493-1204,CRT0603-BY-10R0ELF,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__power_rating,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,power_rating,0.1,0.1,pass,true,hard,gte,W,>= 0.1 W,0.1 W,electrical,publog_characteristics,
5905-00-493-1204__ERA-3AEB103V__resistance_tolerance,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__temperature_coefficient,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__voltage_rating,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__operating_temp_max,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,operating_temp_max,125,155,pass,true,hard,gte,degC,>= 125 degC,155 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__operating_temp_min,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__humidity_resistance,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__qualification,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__solderability_per_j_std_002,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__thermal_shock_cycles,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__vibration_grms,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB103V__lot_traceability,5905-00-493-1204__ERA-3AEB103V,5905-00-493-1204,ERA-3AEB103V,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__power_rating,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,power_rating,0.1,0.1,pass,true,hard,gte,W,>= 0.1 W,0.1 W,electrical,publog_characteristics,
5905-00-493-1204__ERA-3AEB121V__resistance_tolerance,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__temperature_coefficient,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__voltage_rating,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__operating_temp_max,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,operating_temp_max,125,155,pass,true,hard,gte,degC,>= 125 degC,155 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__operating_temp_min,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__humidity_resistance,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__qualification,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__solderability_per_j_std_002,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,solderability_per_j_std_002,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__thermal_shock_cycles,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,thermal_shock_cycles,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__vibration_grms,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,vibration_grms,20,,unknown,false,burden,gte,,>= 20,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB121V__lot_traceability,5905-00-493-1204__ERA-3AEB121V,5905-00-493-1204,ERA-3AEB121V,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB123V__power_rating,5905-00-493-1204__ERA-3AEB123V,5905-00-493-1204,ERA-3AEB123V,power_rating,0.1,0.1,pass,true,hard,gte,W,>= 0.1 W,0.1 W,electrical,publog_characteristics,
5905-00-493-1204__ERA-3AEB123V__resistance_tolerance,5905-00-493-1204__ERA-3AEB123V,5905-00-493-1204,ERA-3AEB123V,resistance_tolerance,0.5,0.1,pass,true,soft,lte,%,<= 0.5 %,0.1 %,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB123V__temperature_coefficient,5905-00-493-1204__ERA-3AEB123V,5905-00-493-1204,ERA-3AEB123V,temperature_coefficient,100,25,pass,true,soft,lte,ppm/degC,<= 100 ppm/degC,25 ppm/degC,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB123V__voltage_rating,5905-00-493-1204__ERA-3AEB123V,5905-00-493-1204,ERA-3AEB123V,voltage_rating,250,,unknown,true,hard,gte,V,>= 250 V,,electrical,manual_override,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB123V__operating_temp_max,5905-00-493-1204__ERA-3AEB123V,5905-00-493-1204,ERA-3AEB123V,operating_temp_max,125,155,pass,true,hard,gte,degC,>= 125 degC,155 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB123V__operating_temp_min,5905-00-493-1204__ERA-3AEB123V,5905-00-493-1204,ERA-3AEB123V,operating_temp_min,-55,-55,pass,true,hard,lte,degC,<= -55 degC,-55 degC,environmental,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB123V__humidity_resistance,5905-00-493-1204__ERA-3AEB123V,5905-00-493-1204,ERA-3AEB123V,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-PRF-39007
5905-00-493-1204__ERA-3AEB123V__qualification,5905-00-493-1204__ERA-3AEB123V,5905-00-493-1204,ERA-3AEB123V,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-PRF-39007
