nsn,attribute_name,attribute_value,uom
5935-01-223-2835,dielectric_withstanding_voltage,1500,V
5935-01-249-9088,operating_temp_min,-55,C
5935-01-249-9088,operating_temp_max,125,C
5935-01-249-9088,contact_plating,gold,text
5935-01-249-9088,coupling_type,threaded,text
5935-01-249-9088,shell_material,aluminum alloy,text
5935-01-249-9088,insulation_resistance,5000,Mohm
5935-01-249-9088,shell_size,13,code
5935-01-249-9088,contact_count,37,count
5935-01-249-9088,contact_resistance,2.3,mohm
5935-01-249-9088,dielectric_withstanding_voltage,1500,V
5935-01-296-3505,operating_temp_min,-40,C
5935-01-296-3505,operating_temp_max,85,C
5935-01-296-3505,shell_size,21,code
5935-01-296-3505,insulation_resistance,5000,Mohm
5935-01-296-3505,contact_count,26,count
5935-01-296-3505,coupling_type,breech,text
5935-01-296-3505,contact_plating,gold,text
5935-01-296-3505,shell_material,stainless steel,text
5935-01-296-3505,dielectric_withstanding_voltage,1500,V
5935-01-296-3505,contact_resistance,8.0,mohm
5935-01-446-7776,operating_temp_min,-55,C
5935-01-446-7776,operating_temp_max,150,C
5935-01-446-7776,contact_plating,silver,text
5935-01-446-7776,contact_count,55,count
5935-01-446-7776,insulation_resistance,5000,Mohm
5935-01-446-7776,shell_size,21,code
5935-01-446-7776,coupling_type,bayonet,text
5935-01-446-7776,contact_resistance,1.4,mohm
5935-01-446-7776,shell_material,aluminum alloy,text
5935-01-446-7776,dielectric_withstanding_voltage,1300,V
5945-00-491-3597,operating_temp_min,-46,C
5945-00-491-3597,operating_temp_max,71,C
5945-00-491-3597,contact_configuration,SPDT,text
5945-00-491-3597,contact_rating,2.0,A
5945-00-491-3597,coil_voltage,28,V
5945-00-491-3597,coil_resistance,50,ohm
5945-00-491-3597,sealing,hermetic,text
5950-00-698-0421,operating_temp_min,-55,C
5950-00-698-0421,operating_temp_max,85,C
5950-00-698-0421,current_rating,0.1,A
5950-00-698-0421,q_factor,80,count
5950-00-698-0421,dc_resistance,3.363,ohm
5950-00-698-0421,inductance_tolerance,2.0,pct
5950-00-698-0421,inductance,100.0,uH
5950-01-199-2306,operating_temp_min,-46,C
5950-01-199-2306,operating_temp_max,71,C
5950-01-199-2306,inductance,10.0,uH
5950-01-199-2306,current_rating,0.1,A
5950-01-199-2306,dc_resistance,2.793,ohm
5950-01-199-2306,inductance_tolerance,2.0,pct
5950-01-199-2306,q_factor,30,count
5950-01-224-5861,operating_temp_min,-55,C
5950-01-224-5861,operating_temp_max,125,C
5950-01-224-5861,inductance,47.0,uH
5950-01-224-5861,q_factor,80,count
5950-01-224-5861,current_rating,0.1,A
5950-01-224-5861,dc_resistance,7.243,ohm
5950-01-224-5861,inductance_tolerance,10.0,pct
5961-01-017-5461,operating_temp_min,-46,C
5961-01-017-5461,operating_temp_max,71,C
5961-01-017-5461,voltage_rating,200,V
5961-01-017-5461,current_rating,0.5,A
5999-00-162-1259,operating_temp_min,-55,C
5999-00-162-1259,operating_temp_max,200,C
5999-00-162-1259,contact_plating,gold over nickel,text
5999-00-162-1259,contact_count,9,count
5999-00-162-1259,shell_material,composite,text
5999-00-162-1259,current_rating,3.0,A
5999-00-162-1259,insulation_resistance,5000,Mohm
5999-00-196-0634,operating_temp_min,-55,C
5999-00-196-0634,operating_temp_max,125,C
5999-00-196-0634,insulation_resistance,1000,Mohm
5999-00-196-0634,current_rating,1.0,A
5999-00-196-0634,contact_count,9,count
5999-00-196-0634,contact_plating,gold,text
5999-00-196-0634,shell_material,aluminum alloy,text
5999-01-070-6620,operating_temp_min,-40,C
5999-01-070-6620,operating_temp_max,85,C
5999-01-070-6620,current_rating,3.0,A
5999-01-070-6620,insulation_resistance,5000,Mohm
5999-01-070-6620,contact_plating,gold over nickel,text
5999-01-070-6620,contact_count,9,count
5999-01-070-6620,shell_material,steel,text
5999-01-129-4193,operating_temp_min,-55,C
5999-01-129-4193,operating_temp_max,125,C
5999-01-129-4193,shell_material,steel,text
5999-01-129-4193,contact_plating,gold over nickel,text
5999-01-129-4193,insulation_resistance,5000,Mohm
5999-01-129-4193,current_rating,7.5,A
5999-01-129-4193,contact_count,15,count
5999-01-209-0658,operating_temp_min,-55,C
5999-01-209-0658,operating_temp_max,85,C
5999-01-209-0658,contact_plating,gold over nickel,text
5999-01-209-0658,shell_material,aluminum alloy,text
5999-01-209-0658,insulation_resistance,1000,Mohm
5999-01-209-0658,current_rating,1.0,A
5999-01-209-0658,contact_count,9,count
5999-01-215-7176,operating_temp_min,-46,C
5999-01-215-7176,operating_temp_max,71,C
5999-01-215-7176,contact_count,37,count
5999-01-215-7176,current_rating,3.0,A
5999-01-215-7176,shell_material,aluminum alloy,text
5999-01-215-7176,insulation_resistance,5000,Mohm
5999-01-215-7176,contact_plating,gold,text
5999-01-222-0064,operating_temp_min,-46,C
5999-01-222-0064,operating_temp_max,71,C
5999-01-222-0064,current_rating,1.0,A
5999-01-222-0064,shell_material,composite,text
5999-01-222-0064,insulation_resistance,1000,Mohm
5999-01-222-0064,contact_count,25,count
5999-01-222-0064,contact_plating,gold,text
5999-01-240-8049,operating_temp_min,-46,C
5999-01-240-8049,operating_temp_max,71,C
5999-01-240-8049,shell_material,aluminum alloy,text
5999-01-240-8049,current_rating,1.0,A
5999-01-240-8049,contact_count,25,count
5999-01-240-8049,insulation_resistance,5000,Mohm
5999-01-240-8049,contact_plating,gold,text
5999-01-270-9406,operating_temp_min,-55,C
5999-01-270-9406,operating_temp_max,125,C
5999-01-270-9406,current_rating,5.0,A
5999-01-270-9406,contact_count,37,count
5999-01-270-9406,shell_material,composite,text
5999-01-270-9406,contact_plating,gold,text
5999-01-270-9406,insulation_resistance,1000,Mohm
5999-01-294-4489,operating_temp_min,-46,C
5999-01-294-4489,operating_temp_max,71,C
5999-01-294-4489,current_rating,5.0,A
5999-01-294-4489,contact_count,9,count
5999-01-294-4489,shell_material,aluminum alloy,text
5999-01-294-4489,contact_plating,gold over nickel,text
5999-01-294-4489,insulation_resistance,5000,Mohm
5999-01-473-6202,operating_temp_min,-55,C
5999-01-473-6202,operating_temp_max,125,C
5999-01-473-6202,current_rating,1.0,A
5999-01-473-6202,contact_count,37,count
5999-01-473-6202,contact_plating,gold over nickel,text
5999-01-473-6202,shell_material,composite,text
5999-01-473-6202,insulation_resistance,5000,Mohm
