requirement_id,nsn,requirement_name,operator,value,uom,requirement_class,source,source_spec_id,conflicting_value,conflicting_source,value_num,value_min,value_max,value_text,parse_status,raw_requirement_name
5905-01-173-4875__thermal_shock_cycles,5905-01-173-4875,thermal_shock_cycles,gte,10,,qualification,spec_extraction,MIL-PRF-39007,,,10.0,,,10,number,thermal_shock_cycles
5905-01-173-4875__vibration_grms,5905-01-173-4875,vibration_grms,gte,20,,qualification,spec_extraction,MIL-PRF-39007,,,20.0,,,20,number,vibration_grms
5905-01-173-4875__lot_traceability,5905-01-173-4875,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-PRF-39007,,,,,,true,boolean,lot_traceability
5905-01-290-1192__power_rating,5905-01-290-1192,power_rating,gte,3,W,electrical,publog_characteristics,,,,3.0,,,3 W,number,power_rating
5905-01-290-1192__resistance,5905-01-290-1192,resistance,eq,150,ohm,electrical,publog_characteristics,,,,150.0,,,150 ohm,number,resistance
5905-01-290-1192__resistance_tolerance,5905-01-290-1192,resistance_tolerance,lte,5,%,electrical,manual_override,MIL-PRF-55342,5,publog_characteristics,5.0,,,5 %,number,resistance_tolerance
5905-01-290-1192__temperature_coefficient,5905-01-290-1192,temperature_coefficient,lte,25,ppm/degC,electrical,manual_override,MIL-PRF-55342,50,publog_characteristics,25.0,,,25 ppm/degC,number,temperature_coefficient
5905-01-290-1192__voltage_rating,5905-01-290-1192,voltage_rating,gte,500,V,electrical,manual_override,MIL-PRF-55342,200,publog_characteristics,500.0,,,500 V,number,voltage_rating
5905-01-290-1192__operating_temp_max,5905-01-290-1192,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-PRF-55342,200,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5905-01-290-1192__operating_temp_min,5905-01-290-1192,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-PRF-55342,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5905-01-290-1192__humidity_resistance,5905-01-290-1192,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-PRF-55342,,,,,,true,boolean,humidity_resistance
5905-01-290-1192__qualification,5905-01-290-1192,qualification,boolean,true,,qualification,spec_extraction,MIL-PRF-55342,,,,,,true,boolean,qualification
5905-01-290-1192__solderability_per_j_std_002,5905-01-290-1192,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-PRF-55342,,,,,,true,boolean,solderability_per_j_std_002
5905-01-290-1192__thermal_shock_cycles,5905-01-290-1192,thermal_shock_cycles,gte,10,,qualification,spec_extraction,MIL-PRF-55342,,,10.0,,,10,number,thermal_shock_cycles
5905-01-290-1192__vibration_grms,5905-01-290-1192,vibration_grms,gte,30,,qualification,spec_extraction,MIL-PRF-55342,,,30.0,,,30,number,vibration_grms
5905-01-290-1192__dpa_sample_required,5905-01-290-1192,dpa_sample_required,boolean,true,,traceability,spec_extraction,MIL-PRF-55342,,,,,,true,boolean,dpa_sample_required
5905-01-290-1192__lot_traceability,5905-01-290-1192,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-PRF-55342,,,,,,true,boolean,lot_traceability
5910-00-934-0177__capacitance,5910-00-934-0177,capacitance,eq,4.7e-08,F,electrical,publog_characteristics,,,,4.7e-08,,,4.7e-08,number,capacitance
5910-00-934-0177__capacitance_tolerance,5910-00-934-0177,capacitance_tolerance,lte,10,%,electrical,publog_characteristics,,,,10.0,,,10 %,number,capacitance_tolerance
5910-00-934-0177__dielectric_type,5910-00-934-0177,dielectric_type,eq,METALLIZEDPAPER,,electrical,spec_extraction,MIL-PRF-39014,METALLIZEDPAPER,publog_characteristics,,,,METALLIZEDPAPER,text,dielectric_type
5910-00-934-0177__dissipation_factor,5910-00-934-0177,dissipation_factor,lte,0.59,%,electrical,manual_override,MIL-PRF-39014,2.11,publog_characteristics,0.59,,,0.59 %,number,dissipation_factor
5910-00-934-0177__voltage_rating,5910-00-934-0177,voltage_rating,gte,500,V,electrical,spec_extraction,MIL-PRF-39014,100,publog_characteristics,500.0,,,500 V,number,voltage_rating
5910-00-934-0177__operating_temp_max,5910-00-934-0177,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-PRF-39014,125,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5910-00-934-0177__operating_temp_min,5910-00-934-0177,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-PRF-39014,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5910-00-934-0177__humidity_resistance,5910-00-934-0177,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-PRF-39014,,,,,,true,boolean,humidity_resistance
5910-00-934-0177__qualification,5910-00-934-0177,qualification,boolean,true,,qualification,spec_extraction,MIL-PRF-39014,,,,,,true,boolean,qualification
5910-00-934-0177__solderability_per_j_std_002,5910-00-934-0177,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-PRF-39014,,,,,,true,boolean,solderability_per_j_std_002
5910-00-934-0177__thermal_shock_cycles,5910-00-934-0177,thermal_shock_cycles,gte,25,,qualification,spec_extraction,MIL-PRF-39014,,,25.0,,,25,number,thermal_shock_cycles
5910-00-934-0177__vibration_grms,5910-00-934-0177,vibration_grms,gte,30,,qualification,spec_extraction,MIL-PRF-39014,,,30.0,,,30,number,vibration_grms
5910-00-934-0177__lot_traceability,5910-00-934-0177,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-PRF-39014,,,,,,true,boolean,lot_traceability
5910-01-204-1981__capacitance,5910-01-204-1981,capacitance,eq,1e-08,F,electrical,publog_characteristics,,,,1e-08,,,1e-08,number,capacitance
5910-01-204-1981__capacitance_tolerance,5910-01-204-1981,capacitance_tolerance,lte,2,%,electrical,manual_override,MIL-PRF-123,1,publog_characteristics,2.0,,,2 %,number,capacitance_tolerance
5910-01-204-1981__dielectric_type,5910-01-204-1981,dielectric_type,eq,METALLIZEDPAPER,,electrical,publog_characteristics,,,,,,,METALLIZEDPAPER,text,dielectric_type
5910-01-204-1981__dissipation_factor,5910-01-204-1981,dissipation_factor,lte,2.25,%,electrical,manual_override,MIL-PRF-123,1.5,publog_characteristics,2.25,,,2.25 %,number,dissipation_factor
5910-01-204-1981__voltage_rating,5910-01-204-1981,voltage_rating,gte,200,V,electrical,manual_override,MIL-PRF-123,250,publog_characteristics,200.0,,,200 V,number,voltage_rating
5910-01-204-1981__operating_temp_max,5910-01-204-1981,operating_temp_max,gte,125,degC,environmental,publog_characteristics,,125,spec_extraction,125.0,,,125 degC,number,operating_temp_max
5910-01-204-1981__operating_temp_min,5910-01-204-1981,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-PRF-123,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5910-01-204-1981__humidity_resistance,5910-01-204-1981,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-PRF-123,,,,,,true,boolean,humidity_resistance
5910-01-204-1981__qualification,5910-01-204-1981,qualification,boolean,true,,qualification,spec_extraction,MIL-PRF-123,,,,,,true,boolean,qualification
5910-01-204-1981__solderability_per_j_std_002,5910-01-204-1981,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-PRF-123,,,,,,true,boolean,solderability_per_j_std_002
5910-01-204-1981__thermal_shock_cycles,5910-01-204-1981,thermal_shock_cycles,gte,5,,qualification,spec_extraction,MIL-PRF-123,,,5.0,,,5,number,thermal_shock_cycles
5910-01-204-1981__vibration_grms,5910-01-204-1981,vibration_grms,gte,30,,qualification,spec_extraction,MIL-PRF-123,,,30.0,,,30,number,vibration_grms
5910-01-204-1981__lot_traceability,5910-01-204-1981,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-PRF-123,,,,,,true,boolean,lot_traceability
5910-01-237-2621__capacitance,5910-01-237-2621,capacitance,eq,1e-07,F,electrical,publog_characteristics,,,,1e-07,,,1e-07,number,capacitance
5910-01-237-2621__capacitance_tolerance,5910-01-237-2621,capacitance_tolerance,lte,2,%,electrical,manual_override,MIL-PRF-123,1,publog_characteristics,2.0,,,2 %,number,capacitance_tolerance
5910-01-237-2621__dielectric_type,5910-01-237-2621,dielectric_type,eq,C0G,,electrical,publog_characteristics,,,,,,,C0G,text,dielectric_type
5910-01-237-2621__dissipation_factor,5910-01-237-2621,dissipation_factor,lte,2.25,%,electrical,manual_override,MIL-PRF-123,2.46,publog_characteristics,2.25,,,2.25 %,number,dissipation_factor
5910-01-237-2621__voltage_rating,5910-01-237-2621,voltage_rating,gte,200,V,electrical,manual_override,MIL-PRF-123,250,publog_characteristics,200.0,,,200 V,number,voltage_rating
5910-01-237-2621__operating_temp_max,5910-01-237-2621,operating_temp_max,gte,85,degC,environmental,publog_characteristics,,125,spec_extraction,85.0,,,85 degC,number,operating_temp_max
5910-01-237-2621__operating_temp_min,5910-01-237-2621,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-PRF-123,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5910-01-237-2621__humidity_resistance,5910-01-237-2621,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-PRF-123,,,,,,true,boolean,humidity_resistance
5910-01-237-2621__qualification,5910-01-237-2621,qualification,boolean,true,,qualification,spec_extraction,MIL-PRF-123,,,,,,true,boolean,qualification
5910-01-237-2621__solderability_per_j_std_002,5910-01-237-2621,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-PRF-123,,,,,,true,boolean,solderability_per_j_std_002
5910-01-237-2621__thermal_shock_cycles,5910-01-237-2621,thermal_shock_cycles,gte,5,,qualification,spec_extraction,MIL-PRF-123,,,5.0,,,5,number,thermal_shock_cycles
5910-01-237-2621__vibration_grms,5910-01-237-2621,vibration_grms,gte,30,,qualification,spec_extraction,MIL-PRF-123,,,30.0,,,30,number,vibration_grms
5910-01-237-2621__lot_traceability,5910-01-237-2621,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-PRF-123,,,,,,true,boolean,lot_traceability
5915-01-134-7687__current_rating,5915-01-134-7687,current_rating,gte,1,A,electrical,publog_characteristics,,1,spec_extraction,1.0,,,1 A,number,current_rating
5915-01-134-7687__frequency_range_max,5915-01-134-7687,frequency_range_max,gte,1e+10,,electrical,manual_override,MIL-PRF-15733,1000000000,publog_characteristics,10000000000.0,,,1e+10,number,frequency_range_max
5915-01-134-7687__insertion_loss,5915-01-134-7687,insertion_loss,gte,20,,electrical,publog_characteristics,,80,spec_extraction,20.0,,,20,number,insertion_loss
5915-01-134-7687__voltage_rating,5915-01-134-7687,voltage_rating,gte,50,V,electrical,publog_characteristics,,,,50.0,,,50 V,number,voltage_rating
5915-01-134-7687__operating_temp_max,5915-01-134-7687,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-PRF-15733,150,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5915-01-134-7687__operating_temp_min,5915-01-134-7687,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-PRF-15733,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5915-01-134-7687__humidity_resistance,5915-01-134-7687,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-PRF-15733,,,,,,true,boolean,humidity_resistance
5915-01-134-7687__qualification,5915-01-134-7687,qualification,boolean,true,,qualification,spec_extraction,MIL-PRF-15733,,,,,,true,boolean,qualification
5915-01-134-7687__thermal_shock_cycles,5915-01-134-7687,thermal_shock_cycles,gte,25,,qualification,spec_extraction,MIL-PRF-15733,,,25.0,,,25,number,thermal_shock_cycles
5915-01-134-7687__vibration_grms,5915-01-134-7687,vibration_grms,gte,20,,qualification,spec_extraction,MIL-PRF-15733,,,20.0,,,20,number,vibration_grms
5915-01-134-7687__dpa_sample_required,5915-01-134-7687,dpa_sample_required,boolean,true,,traceability,spec_extraction,MIL-PRF-15733,,,,,,true,boolean,dpa_sample_required
5915-01-134-7687__lot_traceability,5915-01-134-7687,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-PRF-15733,,,,,,true,boolean,lot_traceability
5930-00-689-2834__actuation_pressure,5930-00-689-2834,actuation_pressure,eq,0.2599,,electrical,publog_characteristics,,,,0.2599,,,0.2599,number,actuation_pressure
5930-00-689-2834__contact_configuration,5930-00-689-2834,contact_configuration,eq,SPDT,,electrical,publog_characteristics,,,,,,,SPDT,text,contact_configuration
5930-00-689-2834__current_rating,5930-00-689-2834,current_rating,gte,10,A,electrical,spec_extraction,MIL-DTL-5809,5,publog_characteristics,10.0,,,10 A,number,current_rating
5930-00-689-2834__sealing,5930-00-689-2834,sealing,eq,PANELSEALED,,electrical,publog_characteristics,,,,,,,PANELSEALED,text,sealing
5930-00-689-2834__voltage_rating,5930-00-689-2834,voltage_rating,gte,28,V,electrical,spec_extraction,MIL-DTL-5809,250,publog_characteristics,28.0,,,28 V,number,voltage_rating
5930-00-689-2834__operating_temp_max,5930-00-689-2834,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-DTL-5809,200,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5930-00-689-2834__operating_temp_min,5930-00-689-2834,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-DTL-5809,-55,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5930-00-689-2834__mechanical_life,5930-00-689-2834,mechanical_life,gte,100000,,mechanical,spec_extraction,MIL-DTL-5809,10000,publog_characteristics,100000.0,,,100000,number,mechanical_life
5930-00-689-2834__humidity_resistance,5930-00-689-2834,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,humidity_resistance
5930-00-689-2834__qualification,5930-00-689-2834,qualification,boolean,true,,qualification,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,qualification
5930-00-689-2834__solderability_per_j_std_002,5930-00-689-2834,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,solderability_per_j_std_002
5930-00-689-2834__thermal_shock_cycles,5930-00-689-2834,thermal_shock_cycles,gte,10,,qualification,spec_extraction,MIL-DTL-5809,,,10.0,,,10,number,thermal_shock_cycles
5930-00-689-2834__vibration_grms,5930-00-689-2834,vibration_grms,gte,20,,qualification,spec_extraction,MIL-DTL-5809,,,20.0,,,20,number,vibration_grms
5930-00-689-2834__lot_traceability,5930-00-689-2834,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,lot_traceability
5930-01-110-7093__actuation_pressure,5930-01-110-7093,actuation_pressure,eq,0.5142,,electrical,publog_characteristics,,,,0.5142,,,0.5142,number,actuation_pressure
5930-01-110-7093__contact_configuration,5930-01-110-7093,contact_configuration,eq,DPST,,electrical,publog_characteristics,,,,,,,DPST,text,contact_configuration
5930-01-110-7093__current_rating,5930-01-110-7093,current_rating,gte,10,A,electrical,spec_extraction,MIL-DTL-5809,1,publog_characteristics,10.0,,,10 A,number,current_rating
5930-01-110-7093__sealing,5930-01-110-7093,sealing,eq,HERMETIC,,electrical,publog_characteristics,,,,,,,HERMETIC,text,sealing
5930-01-110-7093__voltage_rating,5930-01-110-7093,voltage_rating,gte,28,V,electrical,spec_extraction,MIL-DTL-5809,28,publog_characteristics,28.0,,,28 V,number,voltage_rating
5930-01-110-7093__operating_temp_max,5930-01-110-7093,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-DTL-5809,70,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5930-01-110-7093__operating_temp_min,5930-01-110-7093,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-DTL-5809,-46,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5930-01-110-7093__mechanical_life,5930-01-110-7093,mechanical_life,gte,100000,,mechanical,spec_extraction,MIL-DTL-5809,100000,publog_characteristics,100000.0,,,100000,number,mechanical_life
5930-01-110-7093__humidity_resistance,5930-01-110-7093,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,humidity_resistance
5930-01-110-7093__qualification,5930-01-110-7093,qualification,boolean,true,,qualification,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,qualification
5930-01-110-7093__solderability_per_j_std_002,5930-01-110-7093,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,solderability_per_j_std_002
5930-01-110-7093__thermal_shock_cycles,5930-01-110-7093,thermal_shock_cycles,gte,10,,qualification,spec_extraction,MIL-DTL-5809,,,10.0,,,10,number,thermal_shock_cycles
5930-01-110-7093__vibration_grms,5930-01-110-7093,vibration_grms,gte,20,,qualification,spec_extraction,MIL-DTL-5809,,,20.0,,,20,number,vibration_grms
5930-01-110-7093__lot_traceability,5930-01-110-7093,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,lot_traceability
5930-01-110-7094__actuation_pressure,5930-01-110-7094,actuation_pressure,eq,0.1034,,electrical,publog_characteristics,,,,0.1034,,,0.1034,number,actuation_pressure
5930-01-110-7094__contact_configuration,5930-01-110-7094,contact_configuration,eq,SPDT,,electrical,publog_characteristics,,,,,,,SPDT,text,contact_configuration
5930-01-110-7094__current_rating,5930-01-110-7094,current_rating,gte,10,A,electrical,spec_extraction,MIL-DTL-5809,20,publog_characteristics,10.0,,,10 A,number,current_rating
5930-01-110-7094__sealing,5930-01-110-7094,sealing,eq,HERMETIC,,electrical,publog_characteristics,,,,,,,HERMETIC,text,sealing
5930-01-110-7094__voltage_rating,5930-01-110-7094,voltage_rating,gte,28,V,electrical,spec_extraction,MIL-DTL-5809,250,publog_characteristics,28.0,,,28 V,number,voltage_rating
5930-01-110-7094__operating_temp_max,5930-01-110-7094,operating_temp_max,gte,125,degC,environmental,spec_extraction,MIL-DTL-5809,70,publog_characteristics,125.0,,,125 degC,number,operating_temp_max
5930-01-110-7094__operating_temp_min,5930-01-110-7094,operating_temp_min,lte,-55,degC,environmental,spec_extraction,MIL-DTL-5809,-46,publog_characteristics,-55.0,,,-55 degC,number,operating_temp_min
5930-01-110-7094__mechanical_life,5930-01-110-7094,mechanical_life,gte,100000,,mechanical,spec_extraction,MIL-DTL-5809,100000,publog_characteristics,100000.0,,,100000,number,mechanical_life
5930-01-110-7094__humidity_resistance,5930-01-110-7094,humidity_resistance,boolean,true,,qualification,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,humidity_resistance
5930-01-110-7094__qualification,5930-01-110-7094,qualification,boolean,true,,qualification,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,qualification
5930-01-110-7094__solderability_per_j_std_002,5930-01-110-7094,solderability_per_j_std_002,boolean,true,,qualification,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,solderability_per_j_std_002
5930-01-110-7094__thermal_shock_cycles,5930-01-110-7094,thermal_shock_cycles,gte,10,,qualification,spec_extraction,MIL-DTL-5809,,,10.0,,,10,number,thermal_shock_cycles
5930-01-110-7094__vibration_grms,5930-01-110-7094,vibration_grms,gte,20,,qualification,spec_extraction,MIL-DTL-5809,,,20.0,,,20,number,vibration_grms
5930-01-110-7094__lot_traceability,5930-01-110-7094,lot_traceability,boolean,true,,traceability,spec_extraction,MIL-DTL-5809,,,,,,true,boolean,lot_traceability
5930-01-174-6031__actuation_pressure,5930-01-174-6031,actuation_pressure,eq,0.5158,,electrical,publog_characteristics,,,,0.5158,,,0.5158,number,actuation_pressure
5930-01-174-6031__contact_configuration,5930-01-174-6031,contact_configuration,eq,SPDT,,electrical,publog_characteristics,,,,,,,SPDT,text,contact_configuration
