candidate_id,nsn,candidate_mpn,risk_level,risk_rank,pass_count,fail_count,marginal_count,unknown_count,qpl_listed,gov_unit_price,gov_quantity,commercial_unit_price,commercial_basis_qty,price_delta_indicative,rationale,qualification_gap_count,qualification_gap_summary,source,composite_score,weight_coverage_pct,gates_failed,country_of_origin,manufacturer,digikey_pn,governing_spec_ref,enriched,lifecycle_status,distributor_count,gov_price_fiscal_year,rank_within_nsn
5905-00-493-1204__ERA-3AEB123V,5905-00-493-1204,ERA-3AEB123V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P12KDBTR-ND,MIL-PRF-39007,false,unknown,,,11
5905-00-493-1204__ERA-3AEB201V,5905-00-493-1204,ERA-3AEB201V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P200DBTR-ND,MIL-PRF-39007,false,unknown,,,12
5905-00-493-1204__ERA-3AEB202V,5905-00-493-1204,ERA-3AEB202V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P2.0KDBTR-ND,MIL-PRF-39007,false,unknown,,,13
5905-00-493-1204__ERA-3AEB2491V,5905-00-493-1204,ERA-3AEB2491V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P2.49KDBTR-ND,MIL-PRF-39007,false,unknown,,,14
5905-00-493-1204__ERA-3AEB2493V,5905-00-493-1204,ERA-3AEB2493V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P249KDBTR-ND,MIL-PRF-39007,false,unknown,,,15
5905-00-493-1204__ERA-3AEB304V,5905-00-493-1204,ERA-3AEB304V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P300KDBTR-ND,MIL-PRF-39007,false,unknown,,,16
5905-00-493-1204__ERA-3AEB751V,5905-00-493-1204,ERA-3AEB751V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P750DBTR-ND,MIL-PRF-39007,false,unknown,,,17
5905-00-493-1204__ERA-6AEB102V,5905-00-493-1204,ERA-6AEB102V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P1.0KDATR-ND,MIL-PRF-39007,false,unknown,,,18
5905-00-493-1204__ERA-6AEB104V,5905-00-493-1204,ERA-6AEB104V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P100KDATR-ND,MIL-PRF-39007,false,unknown,,,19
5905-00-493-1204__ERA-6AEB202V,5905-00-493-1204,ERA-6AEB202V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P2.0KDATR-ND,MIL-PRF-39007,false,unknown,,,20
5905-00-493-1204__ERA-6AEB203V,5905-00-493-1204,ERA-6AEB203V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P20KDATR-ND,MIL-PRF-39007,false,unknown,,,21
5905-00-493-1204__ERA-6AEB204V,5905-00-493-1204,ERA-6AEB204V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P200KDATR-ND,MIL-PRF-39007,false,unknown,,,22
5905-00-493-1204__ERA-6AEB472V,5905-00-493-1204,ERA-6AEB472V,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P4.7KDATR-ND,MIL-PRF-39007,false,unknown,,,23
5905-00-493-1204__HoFL2-1000A75mVC12595NJ,5905-00-493-1204,HoFL2-1000A75mVC12595NJ,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Milliohm Electronics,5705-HoFL2-1000A75mVC12595NJ-ND,MIL-PRF-39007,false,unknown,,,24
5905-00-493-1204__HoFL2-100A75mVC10322NJ,5905-00-493-1204,HoFL2-100A75mVC10322NJ,medium,2,5,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 5 of 6 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Milliohm Electronics,5705-HoFL2-100A75mVC10322NJ-ND,MIL-PRF-39007,false,unknown,,,25
5905-00-493-1210__HoFL2-1000A-75mV-0.5%-nickel plated,5905-00-493-1210,HoFL2-1000A-75mV-0.5%-nickel plated,low,1,4,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,Milliohm Electronics,5705-HoFL2-1000A-75mV-0.5%-nickelplated-ND,MIL-PRF-39007,false,unknown,,,1
5905-00-493-1210__HoFL2-1000A75mVD12595NJ,5905-00-493-1210,HoFL2-1000A75mVD12595NJ,low,1,4,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,Milliohm Electronics,5705-HoFL2-1000A75mVD12595NJ-ND,MIL-PRF-39007,false,unknown,,,2
5905-00-493-1210__HoFL2-100A75mVD10322NJ,5905-00-493-1210,HoFL2-100A75mVD10322NJ,low,1,4,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,Milliohm Electronics,5705-HoFL2-100A75mVD10322NJ-ND,MIL-PRF-39007,false,unknown,,,3
5905-00-493-1210__HoFL2-1250A75mVD125110NJ,5905-00-493-1210,HoFL2-1250A75mVD125110NJ,low,1,4,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,Milliohm Electronics,5705-HoFL2-1250A75mVD125110NJ-ND,MIL-PRF-39007,false,unknown,,,4
5905-00-493-1210__HoFL2-1500A75mVD125100NJ,5905-00-493-1210,HoFL2-1500A75mVD125100NJ,low,1,4,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,Milliohm Electronics,5705-HoFL2-1500A75mVD125100NJ-ND,MIL-PRF-39007,false,unknown,,,5
5905-00-493-1210__HoFL2-150A-75mV-0.5%,5905-00-493-1210,HoFL2-150A-75mV-0.5%,low,1,4,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,Milliohm Electronics,5705-HoFL2-150A-75mV-0.5%-ND,MIL-PRF-39007,false,unknown,,,6
5905-00-493-1210__HoFL2-150A75mVD11622NJ,5905-00-493-1210,HoFL2-150A75mVD11622NJ,low,1,4,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,Milliohm Electronics,5705-HoFL2-150A75mVD11622NJ-ND,MIL-PRF-39007,false,unknown,,,7
5905-00-493-1210__101-250RX,5905-00-493-1210,101-250RX,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Riedon products by Bourns,696-1556-ND,MIL-PRF-39007,false,unknown,,,8
5905-00-493-1210__CMF55100R00BEEB,5905-00-493-1210,CMF55100R00BEEB,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Vishay Dale,CMF100HBTR-ND,MIL-PRF-39007,false,unknown,,,9
5905-00-493-1210__CMF5510R000BHEA,5905-00-493-1210,CMF5510R000BHEA,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Vishay Dale,541-4313-2-ND,MIL-PRF-39007,false,unknown,,,10
5905-00-493-1210__CMF60250R00BHEB,5905-00-493-1210,CMF60250R00BHEB,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Vishay Dale,CMF250FCTR-ND,MIL-PRF-39007,false,unknown,,,11
5905-00-493-1210__CRT0603-BY-1002ELF,5905-00-493-1210,CRT0603-BY-1002ELF,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,MIL-PRF-39007,false,unknown,,,12
5905-00-493-1210__CRT0603-BY-1003ELF,5905-00-493-1210,CRT0603-BY-1003ELF,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Bourns Inc.,CRT0603-BY-1003ELFTR-ND,MIL-PRF-39007,false,unknown,,,13
5905-00-493-1210__CRT0603-BY-10R0ELF,5905-00-493-1210,CRT0603-BY-10R0ELF,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,MIL-PRF-39007,false,unknown,,,14
5905-00-493-1210__ERA-3AEB123V,5905-00-493-1210,ERA-3AEB123V,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P12KDBTR-ND,MIL-PRF-39007,false,unknown,,,15
5905-00-493-1210__ERA-3AEB201V,5905-00-493-1210,ERA-3AEB201V,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P200DBTR-ND,MIL-PRF-39007,false,unknown,,,16
5905-00-493-1210__ERA-3AEB202V,5905-00-493-1210,ERA-3AEB202V,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P2.0KDBTR-ND,MIL-PRF-39007,false,unknown,,,17
5905-00-493-1210__ERA-6AEB102V,5905-00-493-1210,ERA-6AEB102V,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P1.0KDATR-ND,MIL-PRF-39007,false,unknown,,,18
5905-00-493-1210__ERA-6AEB104V,5905-00-493-1210,ERA-6AEB104V,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P100KDATR-ND,MIL-PRF-39007,false,unknown,,,19
5905-00-493-1210__ERA-6AEB203V,5905-00-493-1210,ERA-6AEB203V,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Panasonic Industry,P20KDATR-ND,MIL-PRF-39007,false,unknown,,,20
5905-00-493-1210__HoFL2-1000A75mVC12595NJ,5905-00-493-1210,HoFL2-1000A75mVC12595NJ,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Milliohm Electronics,5705-HoFL2-1000A75mVC12595NJ-ND,MIL-PRF-39007,false,unknown,,,21
5905-00-493-1210__HoFL2-100A75mVC10322NJ,5905-00-493-1210,HoFL2-100A75mVC10322NJ,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Milliohm Electronics,5705-HoFL2-100A75mVC10322NJ-ND,MIL-PRF-39007,false,unknown,,,22
5905-00-493-1210__HoFL2-1250A75mVC125110NJ,5905-00-493-1210,HoFL2-1250A75mVC125110NJ,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Milliohm Electronics,5705-HoFL2-1250A75mVC125110NJ-ND,MIL-PRF-39007,false,unknown,,,23
5905-00-493-1210__HoFL2-1500A75mVC125100NJ,5905-00-493-1210,HoFL2-1500A75mVC125100NJ,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Milliohm Electronics,5705-HoFL2-1500A75mVC125100NJ-ND,MIL-PRF-39007,false,unknown,,,24
5905-00-493-1210__HoFL2-150A75mVC11622NJ,5905-00-493-1210,HoFL2-150A75mVC11622NJ,medium,2,4,0,0,1,false,,,,,,Composite 57.5 (coverage 40%). Meets 4 of 5 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,57.5,40,,unknown,Milliohm Electronics,5705-HoFL2-150A75mVC11622NJ-ND,MIL-PRF-39007,false,unknown,,,25
5905-00-493-1211__AC2010DK-7W100KL,5905-00-493-1211,AC2010DK-7W100KL,low,1,6,0,0,1,false,,,,,,Composite 0.0 (coverage 40%). Meets 6 of 7 measurable requirements; 1 unknown. 6 qualification clauses under MIL-PRF-39007 require testing to verify. lifecycle/availability unknown (not enriched),6,humidity_resistance|lot_traceability|qualification|solderability_per_j_std_002|thermal_shock_cycles|vibration_grms,digikey,0,40,,unknown,YAGEO,13-AC2010DK-7W100KL-ND,MIL-PRF-39007,false,unknown,,,1
