nsn,candidate_mpn,manufacturer,attribute_name,attribute_value,uom
5935-01-151-1226,HBL5865VY,Hubbell Wiring Device-Kellems,operating_temp_max,75,C
5935-01-151-1226,HBL5865VY,Hubbell Wiring Device-Kellems,operating_temp_min,-40,C
5935-01-151-1226,HBL5666VY,Hubbell Wiring Device-Kellems,contact_count,3,count
5935-01-151-1226,HBL5666VY,Hubbell Wiring Device-Kellems,operating_temp_max,75,C
5935-01-151-1226,HBL5666VY,Hubbell Wiring Device-Kellems,operating_temp_min,-40,C
5935-01-151-1226,207654-1,TE Connectivity,contact_count,1,count
5935-01-151-1226,207654-1,TE Connectivity,operating_temp_max,130,C
5935-01-151-1226,207654-1,TE Connectivity,operating_temp_min,-55,C
5935-01-151-1226,1811633-1,TE Connectivity,operating_temp_max,125,C
5935-01-151-1226,1811633-1,TE Connectivity,operating_temp_min,-65,C
5935-01-151-1226,200821-1,TE Connectivity,contact_count,1,count
5935-01-151-1226,200821-1,TE Connectivity,operating_temp_max,105,C
5935-01-151-1226,200821-1,TE Connectivity,operating_temp_min,-55,C
5935-01-151-1226,PT06E-14-5P(SR),Amphenol Industrial,contact_count,5,count
5935-01-151-1226,PT06E-14-5P(SR),Amphenol Industrial,contact_plating,gold,
5935-01-151-1226,PT06E-14-5P(SR),Amphenol Industrial,operating_temp_max,125,C
5935-01-151-1226,PT06E-14-5P(SR),Amphenol Industrial,operating_temp_min,-55,C
5935-01-151-1226,PT06E-14-5P(SR),Amphenol Industrial,shell_material,aluminum,
5935-01-151-1226,PT06A-10-6S(SR),Amphenol Industrial,contact_count,6,count
5935-01-151-1226,PT06A-10-6S(SR),Amphenol Industrial,contact_plating,gold,
5935-01-151-1226,PT06A-10-6S(SR),Amphenol Industrial,operating_temp_max,125,C
5935-01-151-1226,PT06A-10-6S(SR),Amphenol Industrial,operating_temp_min,-55,C
5935-01-151-1226,PT06A-10-6S(SR),Amphenol Industrial,shell_material,aluminum,
