spec_requirement_id,spec_id,requirement_name,operator,value,uom,requirement_class,confidence,source_page
MIL-DTL-5015__qualification,MIL-DTL-5015,qualification,boolean,true,,qualification,0.61,18
MIL-DTL-5015__lot_traceability,MIL-DTL-5015,lot_traceability,boolean,true,,traceability,0.88,18
MIL-DTL-5015__shell_size,MIL-DTL-5015,shell_size,eq,17,code,mechanical,0.91,38
MIL-DTL-5015__insulation_resistance,MIL-DTL-5015,insulation_resistance,eq,5000,Mohm,electrical,0.89,30
MIL-DTL-5015__contact_plating,MIL-DTL-5015,contact_plating,eq,gold,text,mechanical,0.96,10
MIL-DTL-5809__operating_temp_min,MIL-DTL-5809,operating_temp_min,lte,-55,C,environmental,0.77,3
MIL-DTL-5809__operating_temp_max,MIL-DTL-5809,operating_temp_max,gte,125,C,environmental,0.83,30
MIL-DTL-5809__thermal_shock_cycles,MIL-DTL-5809,thermal_shock_cycles,gte,10,cycles,qualification,0.77,36
MIL-DTL-5809__vibration_grms,MIL-DTL-5809,vibration_grms,gte,20,grms,qualification,0.88,46
MIL-DTL-5809__humidity_resistance,MIL-DTL-5809,humidity_resistance,boolean,true,,qualification,0.78,22
MIL-DTL-5809__qualification,MIL-DTL-5809,qualification,boolean,true,,qualification,0.72,44
MIL-DTL-5809__lot_traceability,MIL-DTL-5809,lot_traceability,boolean,true,,traceability,0.82,10
MIL-DTL-5809__solderability_per_j_std_002,MIL-DTL-5809,solderability_per_j_std_002,boolean,true,,qualification,0.77,12
MIL-DTL-5809__voltage_rating,MIL-DTL-5809,voltage_rating,gte,28,V,electrical,0.76,40
MIL-DTL-5809__mechanical_life,MIL-DTL-5809,mechanical_life,gte,100000,cycles,mechanical,0.82,34
MIL-DTL-5809__current_rating,MIL-DTL-5809,current_rating,gte,10.0,A,electrical,0.8,25
MIL-DTL-83513__operating_temp_min,MIL-DTL-83513,operating_temp_min,lte,-55,C,environmental,0.88,32
MIL-DTL-83513__operating_temp_max,MIL-DTL-83513,operating_temp_max,gte,200,C,environmental,0.85,25
MIL-DTL-83513__thermal_shock_cycles,MIL-DTL-83513,thermal_shock_cycles,gte,25,cycles,qualification,0.73,40
MIL-DTL-83513__vibration_grms,MIL-DTL-83513,vibration_grms,gte,10,grms,qualification,0.65,5
MIL-DTL-83513__humidity_resistance,MIL-DTL-83513,humidity_resistance,boolean,true,,qualification,0.84,13
MIL-DTL-83513__qualification,MIL-DTL-83513,qualification,boolean,true,,qualification,0.89,20
MIL-DTL-83513__lot_traceability,MIL-DTL-83513,lot_traceability,boolean,true,,traceability,0.84,40
MIL-DTL-83513__solderability_per_j_std_002,MIL-DTL-83513,solderability_per_j_std_002,boolean,true,,qualification,0.65,43
MIL-DTL-83513__dpa_sample_required,MIL-DTL-83513,dpa_sample_required,boolean,true,,traceability,0.84,22
MIL-DTL-83513__shell_material,MIL-DTL-83513,shell_material,eq,composite,text,mechanical,0.94,38
MIL-DTL-83513__contact_plating,MIL-DTL-83513,contact_plating,eq,gold,text,mechanical,0.91,11
MIL-DTL-83513__insulation_resistance,MIL-DTL-83513,insulation_resistance,eq,5000,Mohm,electrical,0.77,16
MIL-DTL-83723__operating_temp_min,MIL-DTL-83723,operating_temp_min,lte,-55,C,environmental,0.77,47
MIL-DTL-83723__operating_temp_max,MIL-DTL-83723,operating_temp_max,gte,200,C,environmental,0.93,7
MIL-DTL-83723__thermal_shock_cycles,MIL-DTL-83723,thermal_shock_cycles,gte,10,cycles,qualification,0.65,37
MIL-DTL-83723__vibration_grms,MIL-DTL-83723,vibration_grms,gte,20,grms,qualification,0.74,33
MIL-DTL-83723__humidity_resistance,MIL-DTL-83723,humidity_resistance,boolean,true,,qualification,0.89,15
MIL-DTL-83723__qualification,MIL-DTL-83723,qualification,boolean,true,,qualification,0.75,42
MIL-DTL-83723__lot_traceability,MIL-DTL-83723,lot_traceability,boolean,true,,traceability,0.91,29
MIL-DTL-83723__solderability_per_j_std_002,MIL-DTL-83723,solderability_per_j_std_002,boolean,true,,qualification,0.97,28
MIL-DTL-83723__shell_size,MIL-DTL-83723,shell_size,eq,11,code,mechanical,0.51,32
MIL-DTL-83723__contact_plating,MIL-DTL-83723,contact_plating,eq,gold over nickel,text,mechanical,0.96,33
MIL-DTL-83723__dielectric_withstanding_voltage,MIL-DTL-83723,dielectric_withstanding_voltage,gte,1000,V,electrical,0.84,37
MIL-PRF-123__operating_temp_min,MIL-PRF-123,operating_temp_min,lte,-55,C,environmental,0.95,31
MIL-PRF-123__operating_temp_max,MIL-PRF-123,operating_temp_max,gte,125,C,environmental,0.56,25
MIL-PRF-123__thermal_shock_cycles,MIL-PRF-123,thermal_shock_cycles,gte,5,cycles,qualification,0.79,18
MIL-PRF-123__vibration_grms,MIL-PRF-123,vibration_grms,gte,30,grms,qualification,0.73,40
MIL-PRF-123__humidity_resistance,MIL-PRF-123,humidity_resistance,boolean,true,,qualification,0.65,12
MIL-PRF-123__qualification,MIL-PRF-123,qualification,boolean,true,,qualification,0.62,39
MIL-PRF-123__lot_traceability,MIL-PRF-123,lot_traceability,boolean,true,,traceability,0.84,25
MIL-PRF-123__solderability_per_j_std_002,MIL-PRF-123,solderability_per_j_std_002,boolean,true,,qualification,0.82,20
MIL-PRF-123__dissipation_factor,MIL-PRF-123,dissipation_factor,gte,2.25,pct,electrical,0.78,10
MIL-PRF-123__capacitance_tolerance,MIL-PRF-123,capacitance_tolerance,gte,2.0,pct,electrical,0.94,13
MIL-PRF-123__voltage_rating,MIL-PRF-123,voltage_rating,eq,200,V,electrical,0.93,4
MIL-PRF-15733__operating_temp_min,MIL-PRF-15733,operating_temp_min,lte,-55,C,environmental,0.82,34
MIL-PRF-15733__operating_temp_max,MIL-PRF-15733,operating_temp_max,gte,125,C,environmental,0.85,36
MIL-PRF-15733__thermal_shock_cycles,MIL-PRF-15733,thermal_shock_cycles,gte,25,cycles,qualification,0.84,28
MIL-PRF-15733__vibration_grms,MIL-PRF-15733,vibration_grms,gte,20,grms,qualification,0.91,43
MIL-PRF-15733__humidity_resistance,MIL-PRF-15733,humidity_resistance,boolean,true,,qualification,0.75,7
MIL-PRF-15733__qualification,MIL-PRF-15733,qualification,boolean,true,,qualification,0.96,24
MIL-PRF-15733__lot_traceability,MIL-PRF-15733,lot_traceability,boolean,true,,traceability,0.93,20
MIL-PRF-15733__dpa_sample_required,MIL-PRF-15733,dpa_sample_required,boolean,true,,traceability,0.8,42
MIL-PRF-15733__insertion_loss,MIL-PRF-15733,insertion_loss,gte,80,dB,electrical,0.65,3
MIL-PRF-15733__current_rating,MIL-PRF-15733,current_rating,gte,1.0,A,electrical,0.48,29
MIL-PRF-15733__frequency_range_max,MIL-PRF-15733,frequency_range_max,eq,10000,MHz,electrical,0.97,44
MIL-PRF-27__operating_temp_min,MIL-PRF-27,operating_temp_min,lte,-55,C,environmental,0.86,5
MIL-PRF-27__operating_temp_max,MIL-PRF-27,operating_temp_max,gte,150,C,environmental,0.92,23
MIL-PRF-27__thermal_shock_cycles,MIL-PRF-27,thermal_shock_cycles,gte,25,cycles,qualification,0.89,7
MIL-PRF-27__vibration_grms,MIL-PRF-27,vibration_grms,gte,20,grms,qualification,0.48,34
MIL-PRF-27__humidity_resistance,MIL-PRF-27,humidity_resistance,boolean,true,,qualification,0.88,24
MIL-PRF-27__qualification,MIL-PRF-27,qualification,boolean,true,,qualification,0.86,42
MIL-PRF-27__lot_traceability,MIL-PRF-27,lot_traceability,boolean,true,,traceability,0.5,36
MIL-PRF-27__solderability_per_j_std_002,MIL-PRF-27,solderability_per_j_std_002,boolean,true,,qualification,0.93,35
MIL-PRF-27__dpa_sample_required,MIL-PRF-27,dpa_sample_required,boolean,true,,traceability,0.75,37
MIL-PRF-27__inductance,MIL-PRF-27,inductance,eq,470.0,uH,electrical,0.84,38
MIL-PRF-27__current_rating,MIL-PRF-27,current_rating,eq,2.0,A,electrical,0.8,41
MIL-PRF-27__inductance_tolerance,MIL-PRF-27,inductance_tolerance,eq,10.0,pct,electrical,0.93,3
MIL-PRF-38535__operating_temp_min,MIL-PRF-38535,operating_temp_min,lte,-55,C,environmental,0.94,10
MIL-PRF-38535__operating_temp_max,MIL-PRF-38535,operating_temp_max,gte,200,C,environmental,0.56,27
MIL-PRF-38535__thermal_shock_cycles,MIL-PRF-38535,thermal_shock_cycles,gte,10,cycles,qualification,0.81,8
MIL-PRF-38535__vibration_grms,MIL-PRF-38535,vibration_grms,gte,30,grms,qualification,0.93,3
MIL-PRF-38535__humidity_resistance,MIL-PRF-38535,humidity_resistance,boolean,true,,qualification,0.73,32
MIL-PRF-38535__qualification,MIL-PRF-38535,qualification,boolean,true,,qualification,0.81,3
MIL-PRF-38535__lot_traceability,MIL-PRF-38535,lot_traceability,boolean,true,,traceability,0.67,33
MIL-PRF-38535__solderability_per_j_std_002,MIL-PRF-38535,solderability_per_j_std_002,boolean,true,,qualification,0.45,30
MIL-PRF-38535__dpa_sample_required,MIL-PRF-38535,dpa_sample_required,boolean,true,,traceability,0.86,35
MIL-PRF-38535__current_rating,MIL-PRF-38535,current_rating,gte,1.0,A,electrical,0.78,6
MIL-PRF-38535__junction_temp_max,MIL-PRF-38535,junction_temp_max,gte,175,C,environmental,0.94,32
MIL-PRF-38535__voltage_rating,MIL-PRF-38535,voltage_rating,eq,100,V,electrical,0.79,6
MIL-PRF-39007__operating_temp_min,MIL-PRF-39007,operating_temp_min,lte,-55,C,environmental,0.73,29
MIL-PRF-39007__operating_temp_max,MIL-PRF-39007,operating_temp_max,gte,125,C,environmental,0.75,21
MIL-PRF-39007__thermal_shock_cycles,MIL-PRF-39007,thermal_shock_cycles,gte,10,cycles,qualification,0.77,16
MIL-PRF-39007__vibration_grms,MIL-PRF-39007,vibration_grms,gte,20,grms,qualification,0.76,37
MIL-PRF-39007__humidity_resistance,MIL-PRF-39007,humidity_resistance,boolean,true,,qualification,0.88,10
MIL-PRF-39007__qualification,MIL-PRF-39007,qualification,boolean,true,,qualification,0.91,19
MIL-PRF-39007__lot_traceability,MIL-PRF-39007,lot_traceability,boolean,true,,traceability,0.78,45
MIL-PRF-39007__solderability_per_j_std_002,MIL-PRF-39007,solderability_per_j_std_002,boolean,true,,qualification,0.73,36
MIL-PRF-39007__voltage_rating,MIL-PRF-39007,voltage_rating,eq,250,V,electrical,0.81,21
MIL-PRF-39007__resistance_tolerance,MIL-PRF-39007,resistance_tolerance,gte,0.5,pct,electrical,0.92,14
MIL-PRF-39007__temperature_coefficient,MIL-PRF-39007,temperature_coefficient,eq,100,ppm_per_C,electrical,0.82,12
MIL-PRF-39014__operating_temp_min,MIL-PRF-39014,operating_temp_min,lte,-55,C,environmental,0.81,44
MIL-PRF-39014__operating_temp_max,MIL-PRF-39014,operating_temp_max,gte,125,C,environmental,0.76,34
MIL-PRF-39014__thermal_shock_cycles,MIL-PRF-39014,thermal_shock_cycles,gte,25,cycles,qualification,0.85,35
MIL-PRF-39014__vibration_grms,MIL-PRF-39014,vibration_grms,gte,30,grms,qualification,0.75,19
MIL-PRF-39014__humidity_resistance,MIL-PRF-39014,humidity_resistance,boolean,true,,qualification,0.92,3
MIL-PRF-39014__qualification,MIL-PRF-39014,qualification,boolean,true,,qualification,0.78,8
MIL-PRF-39014__lot_traceability,MIL-PRF-39014,lot_traceability,boolean,true,,traceability,0.93,3
MIL-PRF-39014__solderability_per_j_std_002,MIL-PRF-39014,solderability_per_j_std_002,boolean,true,,qualification,0.76,8
MIL-PRF-39014__dissipation_factor,MIL-PRF-39014,dissipation_factor,gte,0.59,pct,electrical,0.82,17
MIL-PRF-39014__voltage_rating,MIL-PRF-39014,voltage_rating,gte,500,V,electrical,0.82,41
MIL-PRF-39014__dielectric_type,MIL-PRF-39014,dielectric_type,eq,metallized paper,text,electrical,0.89,20
MIL-PRF-39016__operating_temp_min,MIL-PRF-39016,operating_temp_min,lte,-55,C,environmental,0.81,44
MIL-PRF-39016__operating_temp_max,MIL-PRF-39016,operating_temp_max,gte,200,C,environmental,0.72,37
MIL-PRF-39016__thermal_shock_cycles,MIL-PRF-39016,thermal_shock_cycles,gte,5,cycles,qualification,0.9,36
MIL-PRF-39016__vibration_grms,MIL-PRF-39016,vibration_grms,gte,15,grms,qualification,0.77,28
MIL-PRF-39016__humidity_resistance,MIL-PRF-39016,humidity_resistance,boolean,true,,qualification,0.77,36
MIL-PRF-39016__qualification,MIL-PRF-39016,qualification,boolean,true,,qualification,0.88,26
MIL-PRF-39016__lot_traceability,MIL-PRF-39016,lot_traceability,boolean,true,,traceability,0.75,33
MIL-PRF-39016__solderability_per_j_std_002,MIL-PRF-39016,solderability_per_j_std_002,boolean,true,,qualification,0.78,28
MIL-PRF-39016__coil_voltage,MIL-PRF-39016,coil_voltage,gte,5,V,electrical,0.89,40
MIL-PRF-39016__coil_resistance,MIL-PRF-39016,coil_resistance,gte,320,ohm,electrical,0.8,26
MIL-PRF-39016__contact_rating,MIL-PRF-39016,contact_rating,gte,10.0,A,electrical,0.75,12
MIL-PRF-49464__operating_temp_min,MIL-PRF-49464,operating_temp_min,lte,-55,C,environmental,0.81,31
MIL-PRF-49464__operating_temp_max,MIL-PRF-49464,operating_temp_max,gte,200,C,environmental,0.8,29
MIL-PRF-49464__thermal_shock_cycles,MIL-PRF-49464,thermal_shock_cycles,gte,10,cycles,qualification,0.94,33
MIL-PRF-49464__vibration_grms,MIL-PRF-49464,vibration_grms,gte,15,grms,qualification,0.68,11
MIL-PRF-49464__humidity_resistance,MIL-PRF-49464,humidity_resistance,boolean,true,,qualification,0.92,4
MIL-PRF-49464__qualification,MIL-PRF-49464,qualification,boolean,true,,qualification,0.55,45
MIL-PRF-49464__lot_traceability,MIL-PRF-49464,lot_traceability,boolean,true,,traceability,0.96,41
MIL-PRF-49464__contact_plating,MIL-PRF-49464,contact_plating,eq,gold,text,mechanical,0.85,5
MIL-PRF-49464__insulation_resistance,MIL-PRF-49464,insulation_resistance,gte,5000,Mohm,electrical,0.88,21
MIL-PRF-49464__current_rating,MIL-PRF-49464,current_rating,gte,7.5,A,electrical,0.91,42
MIL-PRF-55342__operating_temp_min,MIL-PRF-55342,operating_temp_min,lte,-55,C,environmental,0.8,24
MIL-PRF-55342__operating_temp_max,MIL-PRF-55342,operating_temp_max,gte,125,C,environmental,0.97,15
MIL-PRF-55342__thermal_shock_cycles,MIL-PRF-55342,thermal_shock_cycles,gte,10,cycles,qualification,0.8,34
MIL-PRF-55342__vibration_grms,MIL-PRF-55342,vibration_grms,gte,30,grms,qualification,0.88,5
MIL-PRF-55342__humidity_resistance,MIL-PRF-55342,humidity_resistance,boolean,true,,qualification,0.91,26
MIL-PRF-55342__qualification,MIL-PRF-55342,qualification,boolean,true,,qualification,0.91,39
MIL-PRF-55342__lot_traceability,MIL-PRF-55342,lot_traceability,boolean,true,,traceability,0.79,14
MIL-PRF-55342__solderability_per_j_std_002,MIL-PRF-55342,solderability_per_j_std_002,boolean,true,,qualification,0.76,9
MIL-PRF-55342__dpa_sample_required,MIL-PRF-55342,dpa_sample_required,boolean,true,,traceability,0.82,32
MIL-PRF-55342__resistance_tolerance,MIL-PRF-55342,resistance_tolerance,eq,5.0,pct,electrical,0.74,26
MIL-PRF-55342__temperature_coefficient,MIL-PRF-55342,temperature_coefficient,gte,25,ppm_per_C,electrical,0.85,48
MIL-PRF-55342__voltage_rating,MIL-PRF-55342,voltage_rating,eq,500,V,electrical,0.91,5
MIL-PRF-83446__operating_temp_min,MIL-PRF-83446,operating_temp_min,lte,-55,C,environmental,0.46,25
MIL-PRF-83446__operating_temp_max,MIL-PRF-83446,operating_temp_max,gte,125,C,environmental,0.82,24
MIL-PRF-83446__thermal_shock_cycles,MIL-PRF-83446,thermal_shock_cycles,gte,5,cycles,qualification,0.64,3
MIL-PRF-83446__vibration_grms,MIL-PRF-83446,vibration_grms,gte,20,grms,qualification,0.85,28
MIL-PRF-83446__humidity_resistance,MIL-PRF-83446,humidity_resistance,boolean,true,,qualification,0.83,15
MIL-PRF-83446__qualification,MIL-PRF-83446,qualification,boolean,true,,qualification,0.85,28
MIL-PRF-83446__lot_traceability,MIL-PRF-83446,lot_traceability,boolean,true,,traceability,0.73,29
MIL-PRF-83446__dpa_sample_required,MIL-PRF-83446,dpa_sample_required,boolean,true,,traceability,0.97,6
MIL-PRF-83446__inductance,MIL-PRF-83446,inductance,eq,1000.0,uH,electrical,0.97,20
MIL-PRF-83446__dc_resistance,MIL-PRF-83446,dc_resistance,eq,3.182,ohm,electrical,0.43,21
MIL-PRF-83446__current_rating,MIL-PRF-83446,current_rating,gte,0.5,A,electrical,0.97,13
